1930,Uruguay,Uruguay,Argentina,13,18,70,3.89
1934,Italy,Italy,Czech Republic,16,17,70,4.12
1938,France,Italy,Hungary,15,18,84,4.67
1950,Brazil,Uruguay,Brazil,13,22,88,4
1954,Switzerland,Germany,Hungary,16,26,140,5.38
1958,Sweden,Brazil,Sweden,16,35,126,3.6
1962,Chile,Brazil,Czech Republic,16,32,89,2.78
1966,England,England,Germany,16,32,89,2.78
1970,Mexico,Brazil,Italy,24,32,95,2.97
1974,Germany,Germany,Netherlands,24,38,97,2.55
1978,Argentina,Argentina,Netherlands,24,38,102,2.68
1982,Spain,Italy,Germany,24,38,146,2.81
1986,Mexico,Argentina,Germany,24,52,132,2.54
1990,Italy,Germany,Argentina,24,52,115,2.21
1994,United States,Brazil,Italy,24,52,141,2.71
1998,France,France,Brazil,32,52,171,2.67
2002,Japan-Korea,Brazil,Germany,32,64,161,2.25
2006,Germany,Italy,France,32,64,147,2.3
2010,South Africa,Spain,Netherlands,32,64,145,2.27
2014,Brazil,Germany,Argentina,32,64,171,2.67
